shapeid,x,y
0,114.1669769,22.28152847
0,114.1671295,22.28086281
0,114.167244,22.28038406
0,114.1681824,22.27884865
0,114.1683197,22.2786541
0,114.1682892,22.27623177
0,114.1682892,22.27497292
0,114.1666412,22.27331924
0,114.1662216,22.27121353
0,114.1657944,22.26995087
0,114.1657944,22.2686882
0,114.1657944,22.26742554
0,114.1662216,22.26616287
0,114.1657944,22.26405716
0,114.1653748,22.26279449
0,114.164505,22.26150131
0,114.1636887,22.26068878
0,114.1633072,22.26039124
0,114.1619797,22.25939178
0,114.1612854,22.25962257
0,114.16082,22.25977707
0,114.1607132,22.25981331
0,114.1586075,22.25897026
0,114.1580734,22.25910759
0,114.157402,22.25927162
0,114.1569214,22.25939178
0,114.1554413,22.26057816
0,114.1548157,22.26107597
0,114.1531372,22.26107597
0,114.1522903,22.26023483
0,114.1520844,22.2596035
0,114.1518707,22.25897217
0,114.1514511,22.2577076
0,114.1489258,22.25602341
0,114.1459808,22.25476074
0,114.1447144,22.25560379
0,114.1447525,22.25571823
0,114.1448975,22.25614357
0,114.145134,22.25686646
0,114.145134,22.25812912
0,114.1442947,22.25897026
0,114.1430283,22.25981331
0,114.142189,22.26065445
0,114.1423264,22.26107597
0,114.1426086,22.26191902
0,114.1420975,22.26268387
0,114.1417694,22.26318169
0,114.1411285,22.2641468
0,114.1409302,22.26444435
0,114.1407013,22.26510811
0,114.1405869,22.26545906
0,114.1405029,22.26570702
0,114.1392441,22.26655006
0,114.138443,22.26814461
0,114.1376877,22.26929855
0,114.137558,22.26949692
0,114.1374817,22.26973343
0,114.1373672,22.27007294
0,114.1371384,22.27075958
0,114.1354523,22.27244377
0,114.1347427,22.27291679
0,114.1341934,22.27328491
0,114.1312408,22.2749691
0,114.1266098,22.2749691
0,114.1249313,22.27412987
0,114.1232452,22.27328491
0,114.1196594,22.27328491
0,114.1194534,22.27328491
0,114.1181946,22.27321053
0,114.1179199,22.27319336
0,114.1179199,22.27347183
0,114.1176376,22.27347183
0,114.1176376,22.27375031
0,114.117363,22.27375031
0,114.117363,22.27403069
0,114.116806,22.27403069
0,114.116806,22.27431107
0,114.1165314,22.27431107
0,114.1165314,22.27486038
0,114.1162491,22.27486038
0,114.1162491,22.27514076
0,114.1159744,22.27514076
0,114.1159744,22.27680779
0,114.1162491,22.27680779
0,114.1162491,22.2784729
0,114.1165314,22.2784729
0,114.1165314,22.27930641
0,114.116806,22.27930641
0,114.116806,22.27986145
0,114.1170807,22.27986145
0,114.1170807,22.28013992
0,114.117363,22.28013992
0,114.117363,22.28041649
0,114.1178665,22.28041649
0,114.1179199,22.28097153
0,114.1181946,22.28097153
0,114.1181946,22.28152847
0,114.1187515,22.28152847
0,114.1187515,22.28180504
0,114.1190262,22.28180504
0,114.1190262,22.28208351
0,114.1201401,22.28208351
0,114.1201401,22.28236389
0,114.1204147,22.28236389
0,114.1204147,22.28263855
0,114.1212463,22.28263855
0,114.1212463,22.28291702
0,114.1226425,22.28291702
0,114.1226425,22.28319359
0,114.1237488,22.28319359
0,114.1237488,22.28347206
0,114.1243057,22.28347206
0,114.1243057,22.28375053
0,114.1251373,22.28375053
0,114.1251373,22.2840271
0,114.1254196,22.2840271
0,114.1254196,22.28486061
0,114.1256943,22.28486061
0,114.1256943,22.2859726
0,114.1262512,22.2859726
0,114.1262512,22.28624916
0,114.1265259,22.28624916
0,114.1265259,22.28652763
0,114.1281967,22.28652763
0,114.1281967,22.2868042
0,114.1287537,22.2868042
